Date,Eruption,Seismicity,Acidity,Temperature (in Celsius),SO2,Plume (in meters),Ground Deformation
"August 25, 2022",,5,,66.5,544,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 26, 2022",,48,,66.5,595,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 27, 2022",,1,,66.5,527,1200,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 28, 2022",,0,,66.5,527,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 29, 2022",,1,,66.5,527,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 30, 2022",,2,,66.5,56,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"August 31, 2022",,3,,66.5,56,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 1, 2022",,1,,66.5,47,2400,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 2, 2022",,0,,66.5,47,50,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 3, 2022",,0,,66.5,47,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 4, 2022",,0,,66.5,47,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 5, 2022",,0,,66.5,47,100,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 6, 2022",,0,,66.5,997,300,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 7, 2022",,1,,66.5,997,1800,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 8, 2022",,5,,66.5,997,900,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 9, 2022",,7,,66.5,3265,1500,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
"September 10, 2022",,1,,66.5,3265,600,"Slight inflation of TVI and Western Taal Caldera, while deflation of Eastern Taal Caldera"
